STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
KY,LMK,Logan,21141,C,sc,-86.8789,36.8597
KY,PAH,Lyon,21143,C,ww,-88.0832,37.0191
KY,PAH,McCracken,21145,C,ww,-88.7127,37.0539
KY,JKL,McCreary,21147,E,sc,-84.4841,36.7371
KY,PAH,McLean,21149,C,nw,-87.2636,37.5291
LA,LCH,St. Mary,22101,C,sc,-91.4494,29.7196
LA,SHV,Union,22111,C,nc,-92.3748,32.8319
LA,JAN,Tensas,22107,C,ne,-91.34,32.0016
LA,LCH,St. Landry,22097,C,cc,-92.0058,30.5989
LA,LIX,St. James,22093,C,se,-90.7962,30.0263
LA,SHV,Sabine,22085,C,nw,-93.5547,31.564
LA,JAN,Richland,22083,C,ne,-91.7636,32.4177
LA,SHV,Red River,22081,C,nw,-93.34,32.0933
LA,LCH,Rapides,22079,C,cc,-92.5332,31.1986
LA,SHV,Ouachita,22073,C,nc,-92.1545,32.4785
LA,SHV,Natchitoches,22069,C,nw,-93.0963,31.7236
LA,JAN,Morehouse,22067,C,ne,-91.8017,32.8205
LA,SHV,Lincoln,22061,C,nc,-92.6647,32.6016
LA,SHV,La Salle,22059,C,nc,-92.1604,31.6767
LA,LCH,Lafayette,22055,C,sc,-92.0639,30.2063
LA,SHV,Jackson,22049,C,nc,-92.5577,32.302
LA,SHV,Grant,22043,C,nc,-92.5594,31.5997
LA,JAN,Franklin,22041,C,ne,-91.6738,32.1333
LA,LCH,Evangeline,22039,C,cc,-92.4059,30.729
LA,JAN,East Carroll,22035,C,ne,-91.235,32.7325
LA,SHV,De Soto,22031,C,nw,-93.7373,32.0554
LA,JAN,Concordia,22029,C,ne,-91.6397,31.4458
LA,SHV,Claiborne,22027,C,nw,-92.9957,32.8226
LA,JAN,Catahoula,22025,C,ne,-91.8471,31.6661
LA,SHV,Caldwell,22021,C,nc,-92.1167,32.0922
